customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
4139-JPIAM,51,No,Month-to-month,Yes,Credit card (automatic),44.45,2181.55,No,Male,0,No,No,No phone service,DSL,Yes,No,No,Yes,No,Yes
3727-JEZTU,1,Yes,Month-to-month,No,Mailed check,20.4,20.4,No,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3882-IYOIJ,60,Yes,Two year,No,Credit card (automatic),115.25,6758.45,No,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
4335-UPJSI,24,Yes,Two year,No,Mailed check,19.75,498.1,No,Female,0,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7760-OYPDY,2,Yes,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,Female,0,No,No,No,Fiber optic,No,No,No,No,Yes,No
7786-WBJYI,4,Yes,Month-to-month,No,Bank transfer (automatic),77.95,305.55,Yes,Female,0,No,No,Yes,Fiber optic,No,Yes,No,No,No,No
4102-HLENU,67,Yes,Two year,No,Mailed check,65.65,4322.85,No,Female,0,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No
7718-UPSKJ,69,Yes,One year,Yes,Credit card (automatic),106.4,7251.9,No,Female,0,Yes,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
4110-PFEUZ,1,Yes,Month-to-month,No,Mailed check,69.55,69.55,Yes,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No
3768-VHXQO,67,Yes,Two year,No,Credit card (automatic),24.85,1583.5,No,Male,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3027-ZTDHO,1,Yes,Month-to-month,Yes,Electronic check,89.9,89.9,Yes,Male,0,No,No,No,Fiber optic,No,No,No,No,Yes,Yes
4833-QTJNO,67,Yes,Month-to-month,No,Bank transfer (automatic),83.85,5588.8,No,Male,1,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,No,No
0141-YEAYS,27,Yes,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,No,Female,1,No,No,Yes,Fiber optic,No,Yes,Yes,No,No,No
9822-WMWVG,41,Yes,Month-to-month,Yes,Electronic check,106.5,4282.4,No,Female,0,No,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No
3612-YUNGG,64,Yes,Two year,Yes,Credit card (automatic),109.2,6741.15,No,Male,0,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7665-TOALD,1,Yes,Month-to-month,Yes,Electronic check,69.6,69.6,Yes,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No
5027-XWQHA,6,Yes,Month-to-month,No,Electronic check,44.75,270.95,Yes,Male,0,No,No,No,DSL,No,No,No,No,No,No
9443-JUBUO,72,No,Two year,Yes,Credit card (automatic),65.25,4478.85,No,Male,0,Yes,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
2325-ZUSFD,57,Yes,One year,Yes,Bank transfer (automatic),70.1,3913.3,Yes,Female,0,Yes,Yes,No,DSL,Yes,No,No,No,Yes,Yes
6953-PBDIN,70,Yes,Two year,No,Bank transfer (automatic),72.95,5265.55,No,Male,0,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No
3247-ZVOUO,10,Yes,Month-to-month,No,Electronic check,85.55,851.75,Yes,Male,1,Yes,No,Yes,Fiber optic,No,No,No,No,No,Yes
6629-CZTTH,1,Yes,Month-to-month,Yes,Mailed check,55.7,55.7,Yes,Male,0,No,No,No,DSL,No,No,No,No,No,Yes
2176-LVPNX,71,Yes,Two year,No,Mailed check,89.85,6293.45,No,Female,1,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
9505-SQFSW,3,No,Month-to-month,No,Mailed check,40.3,92.5,No,Female,0,Yes,Yes,No phone service,DSL,No,Yes,No,No,No,Yes
1705-GUHPV,63,Yes,Two year,No,Mailed check,24.2,1618.2,No,Female,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7978-DKUQH,25,Yes,Month-to-month,Yes,Electronic check,74.6,1797.75,No,Female,0,Yes,No,No,Fiber optic,No,No,Yes,No,No,No
7608-RGIRO,62,Yes,Two year,Yes,Mailed check,24.4,1413,No,Male,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3807-BPOMJ,55,Yes,One year,Yes,Electronic check,94.75,5276.1,No,Female,0,Yes,No,No,Fiber optic,Yes,No,No,No,Yes,Yes
1960-UOTYM,52,Yes,Two year,No,Electronic check,79.2,4016.3,No,Male,0,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes
9560-ARGQJ,16,Yes,Month-to-month,Yes,Electronic check,81.0,1312.15,Yes,Female,0,No,Yes,No,Fiber optic,No,No,No,No,Yes,No
5294-DMSFH,29,Yes,Month-to-month,Yes,Credit card (automatic),87.8,2621.75,No,Female,0,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
2485-ITVKB,2,No,Month-to-month,Yes,Electronic check,35.1,68.75,Yes,Female,0,Yes,No,No phone service,DSL,No,No,No,No,No,Yes
7967-HYCDE,8,Yes,Month-to-month,No,Bank transfer (automatic),70.7,553.4,No,Male,0,No,No,No,Fiber optic,No,No,No,No,No,No
2135-DQWAQ,5,Yes,Month-to-month,Yes,Mailed check,85.3,420.45,No,Female,0,No,No,No,Fiber optic,No,Yes,No,No,Yes,No
5396-IZEPB,9,Yes,Month-to-month,No,Credit card (automatic),19.7,180.7,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6022-UGGSO,32,Yes,Month-to-month,Yes,Electronic check,74.4,2276.95,Yes,Female,1,No,No,No,Fiber optic,No,Yes,No,No,No,No
7971-HLVXI,72,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,No,Male,0,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
7021-XSNYE,7,No,Two year,No,Credit card (automatic),49.65,305.55,No,Male,0,Yes,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,Yes
1986-PHGZF,18,Yes,Month-to-month,Yes,Credit card (automatic),58.4,964.9,No,Male,1,No,No,Yes,DSL,Yes,Yes,No,No,No,No
5118-MUEYH,48,Yes,Month-to-month,Yes,Credit card (automatic),105.1,5083.55,No,Female,0,Yes,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
3841-NFECX,71,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95,No,Female,1,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
3494-JCHRQ,1,Yes,Month-to-month,Yes,Electronic check,70.05,70.05,Yes,Male,0,No,No,No,Fiber optic,No,No,No,No,No,No
5440-VHLUL,69,Yes,One year,Yes,Bank transfer (automatic),105.2,7386.05,No,Male,0,No,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
3154-HMWUU,60,Yes,Two year,Yes,Bank transfer (automatic),20.5,1198.8,No,Male,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0616-ATFGB,1,No,Month-to-month,No,Electronic check,25.05,25.05,Yes,Male,1,Yes,No,No phone service,DSL,No,No,No,No,No,No
2607-FBDFF,1,Yes,Month-to-month,No,Credit card (automatic),49.0,49,No,Male,0,No,No,No,DSL,No,No,No,Yes,No,No
3717-LNXKW,38,Yes,Month-to-month,No,Bank transfer (automatic),91.7,3479.05,No,Male,0,Yes,No,Yes,Fiber optic,Yes,No,No,No,Yes,No
1336-EZFZY,4,Yes,Month-to-month,No,Mailed check,20.05,83.3,No,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7954-MLBUN,31,Yes,Two year,No,Bank transfer (automatic),99.45,3109.9,No,Male,0,No,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
6646-JPPHA,14,Yes,Month-to-month,No,Electronic check,78.85,1043.8,No,Female,1,No,No,No,Fiber optic,Yes,Yes,No,No,No,No
0013-SMEOE,71,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,No,Female,1,Yes,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
9878-TNQGW,2,Yes,Month-to-month,Yes,Electronic check,80.95,171.15,Yes,Male,0,No,No,No,Fiber optic,No,No,No,No,No,Yes
9777-IQHWP,64,Yes,Two year,No,Bank transfer (automatic),93.4,5822.3,No,Male,0,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes
0570-BFQHT,9,Yes,Month-to-month,No,Electronic check,80.55,653.9,No,Female,0,No,No,No,Fiber optic,No,Yes,Yes,No,No,No
5285-MVEHD,56,Yes,One year,Yes,Credit card (automatic),105.6,6068.65,No,Female,0,Yes,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9093-FPDLG,11,Yes,Month-to-month,Yes,Electronic check,94.2,999.9,No,Female,0,No,No,No,Fiber optic,No,Yes,Yes,Yes,No,Yes
2848-YXSMW,72,Yes,Two year,No,Credit card (automatic),19.4,1363.25,No,Male,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0970-QXPXW,1,Yes,Month-to-month,No,Mailed check,19.65,19.65,No,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2522-AHJXR,60,Yes,Month-to-month,Yes,Bank transfer (automatic),109.45,6572.85,No,Male,0,Yes,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
9373-WSLOY,33,No,Month-to-month,Yes,Electronic check,50.0,1750.85,No,Male,1,Yes,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No
4277-BWBML,72,Yes,Two year,No,Bank transfer (automatic),19.95,1322.85,No,Male,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6156-UZDLF,26,Yes,One year,Yes,Credit card (automatic),87.15,2274.1,No,Female,0,No,No,No,Fiber optic,Yes,No,Yes,Yes,No,No
0378-TOVMS,3,Yes,Month-to-month,No,Electronic check,85.8,272.2,Yes,Female,0,No,No,No,Fiber optic,No,No,No,Yes,No,Yes
2436-QBZFP,22,No,Month-to-month,No,Electronic check,39.2,849.9,No,Female,0,Yes,Yes,No phone service,DSL,No,Yes,No,No,Yes,No
3402-XRIUO,22,Yes,Month-to-month,Yes,Mailed check,63.55,1381.8,No,Female,1,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No
4929-BSTRX,1,Yes,Month-to-month,Yes,Mailed check,53.55,53.55,Yes,Female,0,No,No,No,DSL,No,No,No,No,Yes,No
0285-INHLN,27,Yes,Month-to-month,Yes,Credit card (automatic),54.75,1510.3,No,Male,0,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No
4501-EQDRN,1,Yes,Month-to-month,No,Bank transfer (automatic),69.7,69.7,Yes,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No
0337-CNPZE,41,Yes,Month-to-month,Yes,Electronic check,106.3,4443.45,Yes,Female,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2272-QAGFO,14,Yes,Month-to-month,Yes,Electronic check,74.3,1096.25,Yes,Female,1,No,No,Yes,Fiber optic,No,No,No,No,No,No
5027-QPKTE,7,Yes,Month-to-month,Yes,Electronic check,69.35,451.1,Yes,Male,0,Yes,No,No,Fiber optic,No,No,No,No,No,No
5423-BHIXO,32,Yes,Month-to-month,Yes,Electronic check,54.2,1739.6,No,Female,0,No,No,Yes,DSL,No,Yes,No,No,No,No
1338-CECEE,41,Yes,One year,No,Bank transfer (automatic),68.5,2839.95,No,Male,0,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No
2718-GAXQD,4,Yes,Month-to-month,No,Electronic check,46.0,181.6,Yes,Female,1,Yes,Yes,No,DSL,No,No,No,No,No,No
4521-WFJAI,56,Yes,Two year,Yes,Bank transfer (automatic),25.95,1444.05,No,Male,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3336-JORSO,33,Yes,Month-to-month,Yes,Electronic check,110.45,3655.45,Yes,Female,1,No,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
5485-WUYWF,2,Yes,Month-to-month,No,Bank transfer (automatic),66.4,94.55,Yes,Male,1,No,No,No,DSL,Yes,No,Yes,No,Yes,No
8868-WOZGU,28,Yes,Month-to-month,Yes,Electronic check,105.7,2979.5,Yes,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
7246-ZGQDF,1,Yes,Month-to-month,No,Electronic check,54.5,54.5,No,Female,0,No,Yes,No,DSL,Yes,No,No,Yes,No,No
2967-MXRAV,1,Yes,One year,No,Mailed check,18.8,18.8,No,Male,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4512-ZUIYL,2,Yes,Month-to-month,No,Bank transfer (automatic),70.0,153.05,Yes,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No
8361-LTMKD,4,Yes,Month-to-month,Yes,Mailed check,74.4,306.6,Yes,Male,1,Yes,No,Yes,Fiber optic,No,No,No,No,No,No
2697-NQBPF,34,Yes,Month-to-month,Yes,Electronic check,105.35,3540.65,No,Male,0,No,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
6872-HXFNF,64,Yes,One year,No,Bank transfer (automatic),58.35,3756.45,No,Female,0,Yes,No,Yes,DSL,No,No,Yes,Yes,No,No
1386-ZIKUV,7,Yes,Month-to-month,Yes,Mailed check,18.95,130.55,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2330-PQGDQ,51,Yes,One year,No,Bank transfer (automatic),84.2,4299.75,No,Male,0,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
1930-BZLHI,21,Yes,One year,Yes,Mailed check,20.35,422.7,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2999-AANRQ,21,Yes,Two year,No,Credit card (automatic),71.05,1524.85,No,Female,0,No,No,No,DSL,Yes,Yes,No,Yes,Yes,No
5198-EFNBM,57,Yes,One year,Yes,Electronic check,90.65,5199.8,No,Male,1,Yes,No,No,Fiber optic,No,Yes,Yes,No,Yes,No
8185-UPYBR,6,Yes,Month-to-month,Yes,Electronic check,75.5,438,Yes,Male,0,Yes,No,Yes,Fiber optic,No,No,No,No,No,No
5780-INQIK,8,Yes,Month-to-month,No,Electronic check,49.4,408.25,No,Female,0,No,No,No,DSL,No,No,No,Yes,No,No
6791-YBNAK,18,No,Month-to-month,No,Credit card (automatic),25.55,467.85,No,Male,0,Yes,Yes,No phone service,DSL,No,No,No,No,No,No
5931-FLJJF,7,Yes,Month-to-month,Yes,Mailed check,70.1,467.55,Yes,Male,1,Yes,No,No,Fiber optic,No,No,No,No,No,No
6131-FOYAS,35,Yes,Month-to-month,Yes,Electronic check,59.6,2094.9,No,Male,0,No,No,Yes,DSL,Yes,No,Yes,No,No,No
5985-TBABQ,32,Yes,One year,No,Mailed check,74.75,2282.95,No,Female,0,No,No,Yes,DSL,Yes,No,No,No,Yes,Yes
4998-IKFSE,30,Yes,Month-to-month,No,Electronic check,100.45,3096.9,No,Female,0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
0980-FEXWF,26,Yes,One year,No,Mailed check,50.35,1285.8,No,Male,0,Yes,Yes,No,DSL,No,No,Yes,No,No,No
6075-SLNIL,38,Yes,Month-to-month,Yes,Credit card (automatic),95.1,3691.2,No,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
7279-BUYWN,41,Yes,Month-to-month,Yes,Electronic check,113.2,4689.5,Yes,Female,1,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
5337-IIWKZ,34,No,Month-to-month,Yes,Electronic check,44.85,1442.6,No,Male,0,Yes,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No
3605-JISKB,55,Yes,One year,No,Credit card (automatic),60.0,3316.1,No,Male,1,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No
2267-WTPYD,57,Yes,Month-to-month,No,Credit card (automatic),94.0,5438.95,No,Female,1,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
6797-UCJHZ,66,Yes,One year,No,Credit card (automatic),104.6,6819.45,No,Female,1,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2716-GFZOR,43,Yes,Month-to-month,Yes,Credit card (automatic),86.1,3551.65,No,Male,0,Yes,No,No,Fiber optic,Yes,Yes,Yes,No,No,No
5393-HJZSM,32,Yes,Month-to-month,No,Bank transfer (automatic),76.3,2404.15,No,Female,0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes
8203-XJZRC,1,Yes,Month-to-month,No,Mailed check,20.25,20.25,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7013-PSXHK,40,Yes,One year,Yes,Mailed check,80.75,3208.65,No,Female,0,No,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes
5312-UXESG,41,Yes,Month-to-month,No,Bank transfer (automatic),98.05,3990.6,No,Female,0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
6741-EGCBI,30,Yes,Month-to-month,Yes,Credit card (automatic),90.5,2595.85,No,Male,1,No,No,Yes,Fiber optic,Yes,No,No,No,No,Yes
6204-IEUXJ,3,Yes,Month-to-month,No,Credit card (automatic),80.1,217.55,Yes,Female,0,No,No,No,Fiber optic,No,No,Yes,Yes,No,No
6353-BRMMA,54,Yes,Month-to-month,Yes,Bank transfer (automatic),104.1,5645.8,No,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
2344-JMOGN,9,Yes,Month-to-month,Yes,Mailed check,94.85,890.6,Yes,Male,0,Yes,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,No
2077-MPJQO,7,Yes,Month-to-month,Yes,Electronic check,75.4,533.05,No,Male,1,Yes,No,Yes,Fiber optic,No,No,No,No,No,No
8091-TTVAX,58,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,Male,0,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
6900-RBKER,52,Yes,Two year,Yes,Credit card (automatic),89.45,4577.75,No,Male,0,No,No,Yes,Fiber optic,No,No,Yes,No,No,Yes
8319-QBEHW,26,No,One year,Yes,Bank transfer (automatic),39.95,1023.75,No,Male,0,No,Yes,No phone service,DSL,No,Yes,No,No,Yes,No
9860-LISIZ,34,Yes,Month-to-month,No,Mailed check,20.35,673.2,No,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5206-XZZQI,53,Yes,Month-to-month,Yes,Mailed check,80.6,4348.1,No,Male,0,No,No,No,Fiber optic,No,Yes,No,Yes,No,No
9529-OFXHY,15,Yes,Month-to-month,Yes,Bank transfer (automatic),87.75,1242.2,No,Male,0,No,No,Yes,Fiber optic,Yes,No,No,No,Yes,No
1725-MIMXW,1,Yes,Month-to-month,Yes,Mailed check,19.45,19.45,Yes,Male,0,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4324-AHJKS,5,Yes,Month-to-month,No,Credit card (automatic),55.8,300.4,No,Female,0,No,No,No,DSL,Yes,No,Yes,No,No,No
2133-TSRRM,34,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,3688.6,No,Female,0,No,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
2809-ZMYOQ,32,Yes,Month-to-month,Yes,Electronic check,101.35,3334.9,No,Female,0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
4032-RMHCI,41,No,One year,No,Credit card (automatic),35.4,1412.4,No,Female,0,Yes,Yes,No phone service,DSL,Yes,No,Yes,No,No,No
8409-WQJUX,25,No,One year,No,Electronic check,54.2,1423.15,No,Female,0,No,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
1536-YHDOE,17,Yes,One year,Yes,Mailed check,62.1,1096.65,No,Male,0,Yes,Yes,Yes,DSL,Yes,No,No,Yes,No,No
1140-UKVZG,17,Yes,Month-to-month,No,Mailed check,24.8,475.25,No,Female,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2987-BJXIK,70,Yes,Two year,No,Mailed check,84.7,5991.05,No,Female,0,No,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
3653-NCRDJ,43,Yes,One year,Yes,Mailed check,19.2,776.25,No,Male,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9365-CSLBQ,71,Yes,Two year,No,Mailed check,24.35,1654.6,No,Male,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8263-JQAIK,2,No,Month-to-month,Yes,Mailed check,24.45,47.5,Yes,Male,1,No,No,No phone service,DSL,No,No,No,No,No,No
3452-SRFEG,49,Yes,Month-to-month,Yes,Bank transfer (automatic),74.6,3720.35,No,Male,0,No,No,Yes,Fiber optic,No,No,No,No,No,No
5985-BEHZK,72,Yes,One year,No,Credit card (automatic),105.0,7578.05,No,Female,1,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
4993-JCRGJ,26,Yes,Month-to-month,Yes,Mailed check,84.3,2281.6,No,Male,0,No,No,Yes,Fiber optic,No,No,Yes,Yes,No,No
1133-KXCGE,18,Yes,One year,No,Mailed check,20.1,407.05,No,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6521-YYTYI,1,Yes,Month-to-month,Yes,Electronic check,93.3,93.3,Yes,Male,0,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
6158-DWPZT,9,No,One year,No,Bank transfer (automatic),24.1,259.8,Yes,Male,0,Yes,No,No phone service,DSL,No,No,No,No,No,No
2305-MRGLV,28,Yes,Month-to-month,No,Bank transfer (automatic),76.55,2065.4,No,Male,0,Yes,No,No,Fiber optic,No,No,No,Yes,No,No
7293-LSCDV,60,Yes,Two year,Yes,Credit card (automatic),19.25,1103.25,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2958-NHPPS,23,Yes,Month-to-month,No,Electronic check,20.85,473.9,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2154-KVJFF,15,Yes,Month-to-month,Yes,Electronic check,79.75,1111.85,Yes,Female,0,No,No,Yes,Fiber optic,No,Yes,No,No,No,No
2038-YSEZE,29,Yes,Month-to-month,No,Mailed check,67.45,1801.1,No,Female,0,No,No,Yes,DSL,Yes,Yes,No,Yes,No,No
2418-TPEUN,56,Yes,Two year,Yes,Credit card (automatic),19.8,1119.9,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1877-HKBQX,11,Yes,One year,Yes,Mailed check,54.6,617.85,No,Female,0,No,No,No,DSL,Yes,No,No,Yes,No,No
1544-JJMYL,27,Yes,One year,No,Credit card (automatic),69.35,1927.3,No,Male,0,No,No,No,DSL,Yes,No,Yes,Yes,Yes,No
5583-SXDAG,1,Yes,Month-to-month,No,Electronic check,70.0,70,Yes,Male,0,Yes,No,No,Fiber optic,No,No,No,No,No,No
8646-JCOMS,66,Yes,One year,Yes,Bank transfer (automatic),90.55,6130.95,No,Female,0,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,No,No
6048-QBXKL,2,Yes,Month-to-month,Yes,Credit card (automatic),56.55,118.25,No,Female,1,No,No,Yes,DSL,No,Yes,No,No,No,No
8999-EXMNO,19,Yes,Two year,No,Mailed check,20.15,387.7,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6242-SGYTS,62,Yes,One year,Yes,Credit card (automatic),94.95,5791.85,No,Male,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
4626-OZDTJ,51,Yes,One year,Yes,Credit card (automatic),78.65,3950.85,No,Female,0,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes
4024-CSNBY,72,Yes,Two year,Yes,Bank transfer (automatic),94.25,6849.75,No,Female,0,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
4112-LUEIZ,10,Yes,Month-to-month,Yes,Electronic check,89.5,863.1,Yes,Male,0,No,No,No,Fiber optic,No,No,No,No,Yes,Yes
6252-DFGTK,37,Yes,One year,No,Credit card (automatic),68.1,2479.25,No,Female,0,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,No
4422-QVIJA,35,Yes,Month-to-month,No,Mailed check,50.15,1655.35,No,Female,0,No,Yes,Yes,DSL,No,No,No,No,No,No
7766-CLTIC,10,Yes,Month-to-month,Yes,Mailed check,60.95,629.55,No,Female,0,No,No,No,DSL,No,No,No,Yes,No,Yes
